Land,Ride,Wait Time,Local Time,Day of Week
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-10 08:45:03.909531-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 08:45:03.909531-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,5,2024-07-10 08:45:03.909531-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,5,2024-07-10 08:45:03.909531-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,5,2024-07-10 08:45:03.909531-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,15,2024-07-10 08:45:03.909531-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,35,2024-07-10 08:45:03.909531-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 08:45:03.909531-07:00,Wednesday
Pixar Pier,Incredicoaster,45,2024-07-10 08:45:03.909531-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,65,2024-07-10 08:45:03.909531-07:00,Wednesday
Cars Land,Radiator Springs Racers,120,2024-07-10 08:45:03.909531-07:00,Wednesday
Grizzly Peak,Grizzly River Run,5,2024-07-10 09:00:03.826492-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-10 09:00:03.826492-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 09:00:03.826492-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-10 09:00:03.826492-07:00,Wednesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-10 09:00:03.826492-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 09:00:03.826492-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,5,2024-07-10 09:00:03.826492-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 09:00:03.826492-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,5,2024-07-10 09:00:03.826492-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,5,2024-07-10 09:00:03.826492-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,10,2024-07-10 09:00:03.826492-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,25,2024-07-10 09:00:03.826492-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,25,2024-07-10 09:00:03.826492-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-10 09:00:03.826492-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 09:00:03.826492-07:00,Wednesday
Pixar Pier,Incredicoaster,45,2024-07-10 09:00:03.826492-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,50,2024-07-10 09:00:03.826492-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,55,2024-07-10 09:00:03.826492-07:00,Wednesday
Cars Land,Radiator Springs Racers,120,2024-07-10 09:00:03.826492-07:00,Wednesday
Grizzly Peak,Grizzly River Run,5,2024-07-10 09:15:03.761886-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",5,2024-07-10 09:15:03.761886-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 09:15:03.761886-07:00,Wednesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-10 09:15:03.761886-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 09:15:03.761886-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,5,2024-07-10 09:15:03.761886-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 09:15:03.761886-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,5,2024-07-10 09:15:03.761886-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,5,2024-07-10 09:15:03.761886-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 09:15:03.761886-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,10,2024-07-10 09:15:03.761886-07:00,Wednesday
Pixar Pier,Incredicoaster,15,2024-07-10 09:15:03.761886-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,25,2024-07-10 09:15:03.761886-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,30,2024-07-10 09:15:03.761886-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-10 09:15:03.761886-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,45,2024-07-10 09:15:03.761886-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-10 09:15:03.761886-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,50,2024-07-10 09:15:03.761886-07:00,Wednesday
Cars Land,Radiator Springs Racers,100,2024-07-10 09:15:03.761886-07:00,Wednesday
Grizzly Peak,Grizzly River Run,5,2024-07-10 09:30:03.743515-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 09:30:03.743515-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-10 09:30:03.743515-07:00,Wednesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-10 09:30:03.743515-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 09:30:03.743515-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,5,2024-07-10 09:30:03.743515-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 09:30:03.743515-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 09:30:03.743515-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,10,2024-07-10 09:30:03.743515-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,15,2024-07-10 09:30:03.743515-07:00,Wednesday
Pixar Pier,Incredicoaster,15,2024-07-10 09:30:03.743515-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-10 09:30:03.743515-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",20,2024-07-10 09:30:03.743515-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-10 09:30:03.743515-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,30,2024-07-10 09:30:03.743515-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 09:30:03.743515-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,40,2024-07-10 09:30:03.743515-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,45,2024-07-10 09:30:03.743515-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,50,2024-07-10 09:30:03.743515-07:00,Wednesday
Cars Land,Radiator Springs Racers,90,2024-07-10 09:30:03.743515-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 09:45:03.830533-07:00,Wednesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-10 09:45:03.830533-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 09:45:03.830533-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 09:45:03.830533-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-10 09:45:03.830533-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 09:45:03.830533-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-10 09:45:03.830533-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-10 09:45:03.830533-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,15,2024-07-10 09:45:03.830533-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-10 09:45:03.830533-07:00,Wednesday
Grizzly Peak,Grizzly River Run,25,2024-07-10 09:45:03.830533-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-10 09:45:03.830533-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,30,2024-07-10 09:45:03.830533-07:00,Wednesday
Pixar Pier,Incredicoaster,30,2024-07-10 09:45:03.830533-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,30,2024-07-10 09:45:03.830533-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",35,2024-07-10 09:45:03.830533-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 09:45:03.830533-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,45,2024-07-10 09:45:03.830533-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,45,2024-07-10 09:45:03.830533-07:00,Wednesday
Cars Land,Radiator Springs Racers,80,2024-07-10 09:45:03.830533-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 10:00:03.747302-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 10:00:03.747302-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 10:00:03.747302-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-10 10:00:03.747302-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 10:00:03.747302-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-10 10:00:03.747302-07:00,Wednesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,10,2024-07-10 10:00:03.747302-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-10 10:00:03.747302-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,15,2024-07-10 10:00:03.747302-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-10 10:00:03.747302-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-10 10:00:03.747302-07:00,Wednesday
Grizzly Peak,Grizzly River Run,25,2024-07-10 10:00:03.747302-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,30,2024-07-10 10:00:03.747302-07:00,Wednesday
Pixar Pier,Incredicoaster,30,2024-07-10 10:00:03.747302-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",35,2024-07-10 10:00:03.747302-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 10:00:03.747302-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,45,2024-07-10 10:00:03.747302-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-10 10:00:03.747302-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-10 10:00:03.747302-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 10:15:03.995368-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 10:15:03.995368-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 10:15:03.995368-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-10 10:15:03.995368-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 10:15:03.995368-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-10 10:15:03.995368-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,10,2024-07-10 10:15:03.995368-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-10 10:15:03.995368-07:00,Wednesday
Grizzly Peak,Grizzly River Run,25,2024-07-10 10:15:03.995368-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",25,2024-07-10 10:15:03.995368-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,25,2024-07-10 10:15:03.995368-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-10 10:15:03.995368-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,30,2024-07-10 10:15:03.995368-07:00,Wednesday
Pixar Pier,Incredicoaster,30,2024-07-10 10:15:03.995368-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,35,2024-07-10 10:15:03.995368-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 10:15:03.995368-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,45,2024-07-10 10:15:03.995368-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-10 10:15:03.995368-07:00,Wednesday
Cars Land,Radiator Springs Racers,90,2024-07-10 10:15:03.995368-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 10:30:04.001095-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 10:30:04.001095-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 10:30:04.001095-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 10:30:04.001095-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-10 10:30:04.001095-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,20,2024-07-10 10:30:04.001095-07:00,Wednesday
Grizzly Peak,Grizzly River Run,25,2024-07-10 10:30:04.001095-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,30,2024-07-10 10:30:04.001095-07:00,Wednesday
Pixar Pier,Incredicoaster,30,2024-07-10 10:30:04.001095-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,30,2024-07-10 10:30:04.001095-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,30,2024-07-10 10:30:04.001095-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,35,2024-07-10 10:30:04.001095-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,35,2024-07-10 10:30:04.001095-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 10:30:04.001095-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-10 10:30:04.001095-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-10 10:30:04.001095-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-10 10:30:04.001095-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,60,2024-07-10 10:30:04.001095-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 10:45:04.278958-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 10:45:04.278958-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 10:45:04.278958-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 10:45:04.278958-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,20,2024-07-10 10:45:04.278958-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-10 10:45:04.278958-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,30,2024-07-10 10:45:04.278958-07:00,Wednesday
Pixar Pier,Incredicoaster,30,2024-07-10 10:45:04.278958-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,30,2024-07-10 10:45:04.278958-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,35,2024-07-10 10:45:04.278958-07:00,Wednesday
Grizzly Peak,Grizzly River Run,35,2024-07-10 10:45:04.278958-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,35,2024-07-10 10:45:04.278958-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 10:45:04.278958-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,40,2024-07-10 10:45:04.278958-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,50,2024-07-10 10:45:04.278958-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,55,2024-07-10 10:45:04.278958-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,60,2024-07-10 10:45:04.278958-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",60,2024-07-10 10:45:04.278958-07:00,Wednesday
Cars Land,Radiator Springs Racers,90,2024-07-10 10:45:04.278958-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 11:00:04.224704-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 11:00:04.224704-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 11:00:04.224704-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 11:00:04.224704-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,20,2024-07-10 11:00:04.224704-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-10 11:00:04.224704-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,30,2024-07-10 11:00:04.224704-07:00,Wednesday
Pixar Pier,Incredicoaster,30,2024-07-10 11:00:04.224704-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,30,2024-07-10 11:00:04.224704-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,35,2024-07-10 11:00:04.224704-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 11:00:04.224704-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,40,2024-07-10 11:00:04.224704-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,40,2024-07-10 11:00:04.224704-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,40,2024-07-10 11:00:04.224704-07:00,Wednesday
Grizzly Peak,Grizzly River Run,45,2024-07-10 11:00:04.224704-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",50,2024-07-10 11:00:04.224704-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-10 11:00:04.224704-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,60,2024-07-10 11:00:04.224704-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 11:15:04.154493-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 11:15:04.154493-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 11:15:04.154493-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 11:15:04.154493-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-10 11:15:04.154493-07:00,Wednesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,10,2024-07-10 11:15:04.154493-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-10 11:15:04.154493-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,20,2024-07-10 11:15:04.154493-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",30,2024-07-10 11:15:04.154493-07:00,Wednesday
Pixar Pier,Incredicoaster,30,2024-07-10 11:15:04.154493-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-10 11:15:04.154493-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,30,2024-07-10 11:15:04.154493-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,35,2024-07-10 11:15:04.154493-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 11:15:04.154493-07:00,Wednesday
Grizzly Peak,Grizzly River Run,45,2024-07-10 11:15:04.154493-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,45,2024-07-10 11:15:04.154493-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,45,2024-07-10 11:15:04.154493-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-10 11:15:04.154493-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,60,2024-07-10 11:15:04.154493-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 11:30:04.133879-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 11:30:04.133879-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 11:30:04.133879-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-10 11:30:04.133879-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 11:30:04.133879-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-10 11:30:04.133879-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-10 11:30:04.133879-07:00,Wednesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,20,2024-07-10 11:30:04.133879-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",25,2024-07-10 11:30:04.133879-07:00,Wednesday
Pixar Pier,Incredicoaster,30,2024-07-10 11:30:04.133879-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-10 11:30:04.133879-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 11:30:04.133879-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,45,2024-07-10 11:30:04.133879-07:00,Wednesday
Grizzly Peak,Grizzly River Run,45,2024-07-10 11:30:04.133879-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,45,2024-07-10 11:30:04.133879-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-10 11:30:04.133879-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-10 11:30:04.133879-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,60,2024-07-10 11:30:04.133879-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 11:45:04.098114-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 11:45:04.098114-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 11:45:04.098114-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 11:45:04.098114-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-10 11:45:04.098114-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-10 11:45:04.098114-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,30,2024-07-10 11:45:04.098114-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,30,2024-07-10 11:45:04.098114-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-10 11:45:04.098114-07:00,Wednesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,35,2024-07-10 11:45:04.098114-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-10 11:45:04.098114-07:00,Wednesday
Pixar Pier,Incredicoaster,40,2024-07-10 11:45:04.098114-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,45,2024-07-10 11:45:04.098114-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-10 11:45:04.098114-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-10 11:45:04.098114-07:00,Wednesday
Grizzly Peak,Grizzly River Run,55,2024-07-10 11:45:04.098114-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-10 11:45:04.098114-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,65,2024-07-10 11:45:04.098114-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 12:00:04.081662-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 12:00:04.081662-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 12:00:04.081662-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 12:00:04.081662-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-10 12:00:04.081662-07:00,Wednesday
Pixar Pier,Jumpin' Jellyfish,15,2024-07-10 12:00:04.081662-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,15,2024-07-10 12:00:04.081662-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-10 12:00:04.081662-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-10 12:00:04.081662-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,30,2024-07-10 12:00:04.081662-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,30,2024-07-10 12:00:04.081662-07:00,Wednesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,35,2024-07-10 12:00:04.081662-07:00,Wednesday
Pixar Pier,Incredicoaster,40,2024-07-10 12:00:04.081662-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-10 12:00:04.081662-07:00,Wednesday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,55,2024-07-10 12:00:04.081662-07:00,Wednesday
Grizzly Peak,Grizzly River Run,55,2024-07-10 12:00:04.081662-07:00,Wednesday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,60,2024-07-10 12:00:04.081662-07:00,Wednesday
Pixar Pier,Toy Story Midway Mania!,60,2024-07-10 12:00:04.081662-07:00,Wednesday
Grizzly Peak,Soarin' Around the World,65,2024-07-10 12:00:04.081662-07:00,Wednesday
Paradise Gardens Park,Golden Zephyr,5,2024-07-10 12:15:03.992553-07:00,Wednesday
Pixar Pier,Games of Pixar Pier,5,2024-07-10 12:15:03.992553-07:00,Wednesday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-10 12:15:03.992553-07:00,Wednesday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-10 12:15:03.992553-07:00,Wednesday
Paradise Gardens Park,Silly Symphony Swings,10,2024-07-10 12:15:03.992553-07:00,Wednesday
Pixar Pier,Jumpin' Jellyfish,15,2024-07-10 12:15:03.992553-07:00,Wednesday
Cars Land,Mater's Junkyard Jamboree,20,2024-07-10 12:15:03.992553-07:00,Wednesday
Pixar Pier,Inside Out Emotional Whirlwind,20,2024-07-10 12:15:03.992553-07:00,Wednesday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,25,2024-07-10 12:15:03.992553-07:00,Wednesday
Cars Land,Luigi's Rollickin' Roadsters,30,2024-07-10 12:15:03.992553-07:00,Wednesday
Paradise Gardens Park,Goofy's Sky School,30,2024-07-10 12:15:03.992553-07:00,Wednesday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",45,2024-07-10 12:15:03.992553-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round - Swinging,45,2024-07-10 12:15:03.992553-07:00,Wednesday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,45,2024-07-10 12:15:03.992553-07:00,Wednesday
Pixar Pier,Incredicoaster,50,2024-07-10 12:15:03.992553-07:00,Wednesday
